incubation,time,average_DIC_uM,DIC_L_Phase,average_CO2_umol,ratio
Kill_13C_PE,0,2026.4499999999998,303.9675,2.6469947174041826,0.008708150435175414
Kill_13C_PE,768,2049.25,307.3875,2.961996856283463,0.009636035480569193
Kill_13C_PP,0,2068.8999999999996,310.3349999999999,3.8923520106478477,0.012542420322064377
Kill_13C_PP,768,2079.8999999999996,311.98499999999996,4.314796739532464,0.013830141639926486
PE,24,2278.8,341.82,2.0642203962189978,0.006038910526648522
PE,696,2389.133333333333,358.36999999999995,3.8652996814041867,0.010785779170701195
PP,24,2284.3,342.64500000000004,2.0421076978127957,0.005959835099922064
PP,696,2391.3,358.695,4.037778728972566,0.011256858135665583
SW_background,0,2271.9,340.785,2.043581877706542,0.005996689636300136
SW_background,696,2383.4,357.51,3.6596515862265044,0.010236501318079226
