incubation,time,total_C_umol,delta_13C,Fract13_CO2,perc_13C,D13C_CO2_perc,excess_13CO2_umol,excess_13C_kill_umol,Net_excess_13C_umol
PE,24,339.83202283397117,148.9,0.012681361855149748,1.2681361855149749,0.17423669808073194,0.5921120956068704,0.46107735844422887,0.13103473716264152
PE,24,346.27870077391105,141.72,0.012603109058919374,1.2603109058919375,0.16641141845769458,0.5762472977747413,0.46107735844422887,0.1151699393305124
PE,24,344.43679279107096,148.62,0.012678310446487942,1.2678310446487941,0.17393155721455122,0.5990842773213668,0.46107735844422887,0.13800691887713795
PE,72,353.2769072124033,151.81,0.012713073592861217,1.2713073592861217,0.17740787185187878,0.6267410428296611,0.45971056889355677,0.16703047393610437
PE,72,353.2769072124033,152.54,0.0127210284514421,1.27210284514421,0.1782033577099671,0.6295513106664276,0.45971056889355677,0.16984074177287078
PE,72,376.82870102656346,153.5,0.012731489440196989,1.2731489440196988,0.17924945658545588,0.6754633988481472,0.45971056889355677,0.21575282995459044
PE,72,356.76606185153815,146.61,0.012656405137759069,1.2656405137759068,0.17174102634166388,0.612713696262567,0.45971056889355677,0.15300312736901023
PE,72,350.66004123305214,151.32,0.012707733958350691,1.270773395835069,0.17687390840082617,0.6202261201288479,0.45971056889355677,0.16051555123529115
PE,96,356.08551264456844,152.18,0.012717105523505114,1.2717105523505114,0.17781106491626852,0.6331594420458612,0.45902717411822075,0.17413226792764042
PE,96,346.7372056300332,153.59,0.012732470146527106,1.2732470146527106,0.1793475272184677,0.6218646042438781,0.45902717411822075,0.16283743012565738
PE,96,346.7372056300332,146.51,0.012655315296022101,1.26553152960221,0.17163204216796712,0.5951121469789695,0.45902717411822075,0.13608497286074878
PE,96,350.9864360911856,146.37,0.012653789513548331,1.265378951354833,0.1714794639205901,0.6018696590431497,0.45902717411822075,0.14284248492492896
PE,96,343.33782126111134,148.02,0.012671771650128,1.2671771650128,0.17327767757855717,0.5949278029300714,0.45902717411822075,0.13590062881185067
PE,192,354.4792109286261,124.103,0.012411053774982616,1.2411053774982617,0.14720589006401874,0.5218142775393945,0.4562935950168766,0.06552068252251786
PE,192,315.948861914645,130.171,0.012477213737119065,1.2477213737119064,0.15382188627766347,0.48599849906991727,0.4562935950168766,0.02970490405304066
PE,192,333.67282246107635,125.568,0.012427027616486563,1.2427027616486563,0.14880327421441342,0.4965160849857283,0.4562935950168766,0.040222489968851693
