incubation,time,average_excess_13CO2_umol,std_excess_13CO2_umol
Kill_13C_PE,0,0.4536648102995131,0.06588872851104594
Kill_13C_PE,96,0.44145107820417795,0.011893951659176758
Kill_13C_PE,168,0.5042906274098877,0.13237718513809718
Kill_13C_PE,264,0.45350567683795345,0.029863294201628806
Kill_13C_PE,336,0.4194755134899616,0.029603302615128883
Kill_13C_PE,432,0.48496239311410394,0.044093688243359366
Kill_13C_PE,504,0.4074033872472695,0.04577590963501828
Kill_13C_PE,600,0.4804937210378695,0.013207442466896029
Kill_13C_PE,672,0.40889437239136955,0.028704291168551277
Kill_13C_PE,768,0.4541227881097783,0.027445830677638207
Kill_13C_PP,0,0.47677198033157014,0.06652225950583983
Kill_13C_PP,96,0.514350708457651,0.01608612513194089
Kill_13C_PP,168,0.4878860920005883,0.12390332701592915
Kill_13C_PP,264,0.5358865349389907,0.06682141345562553
Kill_13C_PP,336,0.579328034432756,0.018801863913069865
Kill_13C_PP,432,0.5155553753318447,0.10076328458820769
Kill_13C_PP,504,0.5037324947149844,0.17328687043478752
Kill_13C_PP,600,0.5596198455864361,0.17421131794952582
Kill_13C_PP,672,0.4930720234678602,0.12404550022598872
Kill_13C_PP,768,0.5422136489196753,0.13664095345258817
