Sample_ID,incubation,Timepoint,time,inject_volume_ul,co2_area,HS_ml,T_C,pressure_bar,delta_pressure,delta_13C,CO2_ppm,CO2_HS_ml,CO2_mmol,CO2_umol,mDIC,total_C_umol
T0-1-PE,PE,T0-1,0,50,36.8,100,22,1,0,69.95,499.23898918081636,0.04992389891808164,0.0020343682533706243,2.034368253370624,346.60703948461213,348.6414077379828
T0-2-PE,PE,T0-1,0,50,35.8,100,22,1,0,80.17,485.6727123009029,0.04856727123009029,0.001979086507355118,1.979086507355118,337.1883699333998,339.16745644075496
T0-3-PE,PE,T0-1,0,50,37.6,100,22,1,0,87.46,510.09201068474727,0.05100920106847473,0.00207859365018303,2.0785936501830298,354.14197512558206,356.2205687757651
T0-4-PE,PE,T0-1,0,50,38.4,100,22,1,0,NA,520.9450321886779,0.0520945032188678,0.002122819046995434,2.122819046995434,361.6769107665518,363.7997298135473
T0-5-PE,PE,T0-1,0,50,35.8,100,22,1,0,NA,485.6727123009029,0.04856727123009029,0.001979086507355118,1.979086507355118,337.1883699333998,339.16745644075496
T0-1-PP,PP,T0-1,0,50,38.3,100,22,1,0,90.5,519.5884045006866,0.05195884045006866,0.0021172908723938837,2.1172908723938835,366.90646268674357,369.02375355913745
T0-2-PP,PP,T0-1,0,50,39.3,100,22,1,0,87.89,533.1546813806001,0.05331546813806001,0.00217257261840939,2.17257261840939,376.4862658900529,378.6588385084623
T0-3-PP,PP,T0-1,0,50,37,100,22,1,0,130.83,501.95224455679914,0.050195224455679914,0.002045424602573726,2.0454246025737257,354.4527185224416,356.49814312501536
T0-4-PP,PP,T0-1,0,50,37.4,100,22,1,0,101.61,507.3787553087645,0.05073787553087645,0.002067537300979928,2.067537300979928,358.28463980376523,360.3521771047452
T0-5-PP,PP,T0-1,0,50,37.8,100,22,1,0,97,512.8052660607299,0.05128052660607299,0.0020896499993861306,2.0896499993861304,362.11656108508896,364.2062110844751
T0-1-PE,PE,T0,24,50,36.9,100,22,1,0,148.9,500.5956168688078,0.050059561686880784,0.0020398964279721753,2.039896427972175,337.792126405999,339.83202283397117
T0-2-PE,PE,T0,24,50,37.6,100,22,1,0,141.72,510.09201068474727,0.05100920106847473,0.00207859365018303,2.0785936501830298,344.200107123728,346.27870077391105
T0-3-PE,PE,T0,24,50,37.4,100,22,1,0,148.62,507.3787553087645,0.05073787553087645,0.002067537300979928,2.067537300979928,342.369255490091,344.43679279107096
T0-4-PE,PE,T0,24,50,37.5,100,22,1,0,NA,508.73538299675585,0.050873538299675586,0.002073065475581479,2.073065475581479,343.28468130690953,345.357746782491
T0-5-PE,PE,T0,24,50,37.3,100,22,1,0,NA,506.0221276207731,0.05060221276207731,0.0020620091263783774,2.0620091263783773,341.4538296732726,343.51583879965096
T0-1-PP,PP,T0,24,50,37.9,100,22,1,0,154.88,514.1618937487212,0.05141618937487213,0.0020951781739876815,2.0951781739876814,351.54968868435293,353.6448668583406
T0-2-PP,PP,T0,24,50,36.5,100,22,1,0,159.68,495.1691061168424,0.04951691061168424,0.002017783729565973,2.017783729565973,338.5636843530049,340.58146808257084
T0-3-PP,PP,T0,24,50,36.4,100,22,1,0,157.35,493.812478428851,0.049381247842885105,0.002012255554964422,2.012255554964422,337.63611261505133,339.6483681700158
T0-4-PP,PP,T0,24,50,37.4,100,22,1,0,165.71,507.3787553087645,0.05073787553087645,0.002067537300979928,2.067537300979928,346.9118299945857,348.9793672955656
T0-5-PP,PP,T0,24,50,36.5,100,22,1,0,159.52,495.1691061168424,0.04951691061168424,0.002017783729565973,2.017783729565973,338.5636843530049,340.58146808257084
T2-1-PE,PE,T2,72,50,40.5,100,22,1,0,151.81,549.4342136364963,0.05494342136364964,0.002238910713627997,2.2389107136279973,351.03799649877527,353.2769072124033
T2-2-PE,PE,T2,72,50,40.5,100,22,1,0,152.54,549.4342136364963,0.05494342136364964,0.002238910713627997,2.2389107136279973,351.03799649877527,353.2769072124033
T2-3-PE,PE,T2,72,50,43.2,100,22,1,0,153.5,586.0631612122628,0.058606316121226285,0.002388171427869864,2.388171427869864,374.4405295986936,376.82870102656346
T2-4-PE,PE,T2,72,50,40.9,100,22,1,0,146.61,554.8607243884617,0.05548607243884617,0.0022610234120341998,2.2610234120342,354.50503843950395,356.76606185153815
T2-5-PE,PE,T2,72,50,40.2,100,22,1,0,151.32,545.3643305725224,0.05453643305725224,0.0022223261898233456,2.2223261898233457,348.4377150432288,350.66004123305214
T2-1-PP,PP,T2,72,50,42.6,100,22,1,0,221.87,577.9233950843147,0.057792339508431476,0.00235500238026056,2.35500238026056,371.5573271825675,373.91232956282806
T2-2-PP,PP,T2,72,50,44,100,22,1,0,212.7,596.9161827161936,0.05969161827161936,0.002432396824682269,2.432396824682269,383.76813136227634,386.2005281869586
T2-3-PP,PP,T2,72,50,42.2,100,22,1,0,217.5,572.4968843323493,0.057249688433234934,0.002332889681854358,2.332889681854358,368.068525988365,370.40141567021936
T2-4-PP,PP,T2,72,50,42,100,22,1,0,214.79,569.7836289563666,0.05697836289563666,0.0023218333326512565,2.3218333326512566,366.32412539126375,368.645958723915
T2-5-PP,PP,T2,72,50,42.3,100,22,1,0,203.04,573.8535120203405,0.05738535120203406,0.002338417856455908,2.338417856455908,368.94072628691555,371.27914414337147
T3-1-PE,PE,T3,96,50,41.9,100,22,1,0,152.18,568.4270012683752,0.05684270012683752,0.0023163051580497055,2.3163051580497056,353.7692074865187,356.08551264456844
T3-2-PE,PE,T3,96,50,40.8,100,22,1,0,153.59,553.5040967004703,0.055350409670047035,0.002255495237432649,2.255495237432649,344.4817103926006,346.7372056300332
T3-3-PE,PE,T3,96,50,40.8,100,22,1,0,146.51,553.5040967004703,0.055350409670047035,0.002255495237432649,2.255495237432649,344.4817103926006,346.7372056300332
T3-4-PE,PE,T3,96,50,41.3,100,22,1,0,146.37,560.2872351404271,0.056028723514042714,0.002283136110440402,2.283136110440402,348.7032999807452,350.9864360911856
T3-5-PE,PE,T3,96,50,40.4,100,22,1,0,148.02,548.077585948505,0.0548077585948505,0.0022333825390264466,2.233382539026447,341.1044387220849,343.33782126111134
T3-1-PP,PP,T3,96,50,41.4,100,22,1,0,222.7,561.6438628284185,0.05616438628284185,0.002288664285041953,2.288664285041953,350.6256170824346,352.9142813674765
T3-2-PP,PP,T3,96,50,42.6,100,22,1,0,217.79,577.9233950843147,0.057792339508431476,0.00235500238026056,2.35500238026056,360.78867844714284,363.1436808274034
T3-3-PP,PP,T3,96,50,46,100,22,1,0,222.66,624.0487364760205,0.062404873647602055,0.002542960316713281,2.542960316713281,389.5840189804828,392.1269792971961
T3-4-PP,PP,T3,96,50,42.3,100,22,1,0,224.29,573.8535120203405,0.05738535120203406,0.002338417856455908,2.338417856455908,358.2479131059657,360.58633096242164
T3-5-PP,PP,T3,96,50,41.4,100,22,1,0,209.16,561.6438628284185,0.05616438628284185,0.002288664285041953,2.288664285041953,350.6256170824346,352.9142813674765
T4-1-PE,PE,T4,192,50,46,100,22,1,0,124.103,624.0487364760205,0.062404873647602055,0.002542960316713281,2.542960316713281,351.93625061191284,354.4792109286261
T4-2-PE,PE,T4,192,50,41,100,22,1,0,130.171,556.217352076453,0.05562173520764531,0.0022665515866357503,2.2665515866357504,313.6823103280093,315.948861914645
T4-3-PE,PE,T4,192,50,43.3,100,22,1,0,125.568,587.419788900254,0.05874197889002541,0.0023936996024714143,2.3936996024714143,331.2791228586049,333.67282246107635
T4-4-PE,PE,T4,192,50,43.1,100,22,1,0,127.369,584.7065335242714,0.05847065335242715,0.0023826432532683133,2.3826432532683133,329.7489652472488,332.13160850051713
T4-5-PE,PE,T4,192,50,45.4,100,22,1,0,127.959,615.9089703480724,0.061590897034807246,0.0025097912691039773,2.509791269103977,347.34577777784443,349.8555690469484
T4-1-PP,PP,T4,192,50,45.4,100,22,1,0,221.7,615.9089703480724,0.061590897034807246,0.0025097912691039773,2.509791269103977,344.5579301158637,347.0677213849677
T4-2-PP,PP,T4,192,50,49.1,100,22,1,0,209.38,666.1041948037524,0.06661041948037524,0.00271433372936135,2.7143337293613503,372.6386424821346,375.35297621149596
