incubation,time,total_C_umol,delta_13C,Fract13_CO2,perc_13C,D13C_CO2_perc,excess_13CO2_umol
Kill_13C_PE,0,290.2089221218236,118.199,0.012346673410635662,1.2346673410635662,0.14076785362932331,0.4085208707116855
Kill_13C_PE,96,297.31489562958984,128.537,0.012459398956948201,1.2459398956948202,0.1520404082605773,0.4520387811347377
Kill_13C_PE,168,299.4143495422428,125.56,0.012426940388721136,1.2426940388721137,0.1487945514378708,0.44551223834199877
Kill_13C_PE,264,325.0795202935177,126.422,0.012436339091828456,1.2436339091828457,0.14973442174860274,0.48675593993463045
Kill_13C_PE,336,302.5382965652873,126.403,0.01243613192976697,1.243613192976697,0.149713705542454,0.4529412944729104
Kill_13C_PE,432,360.4474958255154,124.489,0.012415262632508276,1.2415262632508277,0.1476267758165848,0.5321170165988274
Kill_13C_PE,504,311.87863633271724,124.25,0.012412656634280227,1.2412656634280226,0.14736617599377966,0.4596036201050721
Kill_13C_PE,600,331.596786603627,125.921,0.012430876526295672,1.2430876526295673,0.1491881651953244,0.4947031617806064
Kill_13C_PE,672,339.4706331343754,108.115,0.012236692683354271,1.223669268335427,0.12976978090118418,0.44053029684234174
Kill_13C_PE,768,344.6337776301845,117.897,0.012343380015930341,1.234338001593034,0.14043851415879116,0.48399855659314356
Kill_13C_PE,0,283.4204093236522,126.041,0.012432184930729428,1.2432184930729429,0.14931900563869993,0.4232005369792107
Kill_13C_PE,96,280.56476066454246,129.194,0.012466562014976675,1.2466562014976674,0.1527567140634245,0.4285815092110664
Kill_13C_PE,168,270.38525748136055,128.668,0.012460827215777686,1.2460827215777686,0.15218323414352564,0.4114810294824336
Kill_13C_PE,264,292.3259162337174,128.644,0.012460565550347042,1.2460565550347042,0.15215706760046133,0.44479454197740537
Kill_13C_PE,336,257.9280919779126,130.157,0.01247706110403354,1.247706110403354,0.15380662296911107,0.39671048795989
Kill_13C_PE,432,317.1937963264536,127.309,0.01244601019238234,1.244601019238234,0.15070153180399104,0.478015909851197
Kill_13C_PE,504,254.74056555420418,123.784,0.01240757544337264,1.240757544337264,0.14685805690302112,0.374107044716671
Kill_13C_PE,600,305.72753374802494,129.666,0.012471708013831942,1.2471708013831941,0.15327131394895122,0.46859260807932107
Kill_13C_PE,672,274.9945174589677,123.046,0.012399528300156443,1.2399528300156444,0.14605334258140146,0.401638684664418
Kill_13C_PE,768,286.29932974623347,126.851,0.012441016569975889,1.244101656997589,0.15020216956334598,0.43002780472416063
Kill_13C_PE,0,346.21415270673685,129.302,0.01246773949402286,1.246773949402286,0.1528744619680431,0.5292730232076431
Kill_13C_PE,96,288.1023213988138,130.352,0.01247918706061947,1.247918706061947,0.15401921862770407,0.44373294426672966
Kill_13C_PE,168,427.97175724043575,129.649,0.012471522671583864,1.2471522671583863,0.15325277972414342,0.6558786144052308
Kill_13C_PE,264,280.0433147112924,129.581,0.012470781301895835,1.2470781301895835,0.15317864275534054,0.4289665486018246
Kill_13C_PE,336,268.47232215311016,128.738,0.012461590405825037,1.2461590405825036,0.15225955314826067,0.40877475803708435
Kill_13C_PE,432,289.95998553074793,129.77,0.012472841870776097,1.2472841870776097,0.15338469964336676,0.4447542528922874
Kill_13C_PE,504,261.8828244015183,125.151,0.012422480848681925,1.2422480848681925,0.14834859743394957,0.3884994969200654
Kill_13C_PE,600,309.64711751402524,130.728,0.012483286315169493,1.2483286315169493,0.15442914408270636,0.4781853932536811
Kill_13C_PE,672,277.3249794713318,116.258,0.012325505878148697,1.2325505878148697,0.13865110038062678,0.3845141356673489
Kill_13C_PE,768,300.11538319243243,126.106,0.012432893648350145,1.2432893648350145,0.1493898774007716,0.4483420030120307
Kill_13C_PP,0,274.9982158436975,126.432,0.012436448124457485,1.2436448124457484,0.1497453250115055,0.4117969720909862
Kill_13C_PP,96,320.02830430238953,136.438,0.012545534110083321,1.254553411008332,0.16065392357408914,0.5141380274094143
Kill_13C_PP,168,206.54756579483308,143.486,0.012622357345405599,1.26223573454056,0.168336247106317,0.3476944207484729
Kill_13C_PP,264,276.5979828999761,142.298,0.012609408977089146,1.2609408977089147,0.1670414102746718,0.46203317142741557
Kill_13C_PP,336,330.711435274137,150.64,0.012700323757621495,1.2700323757621494,0.17613288832790652,0.5824916029790126
Kill_13C_PP,432,231.63500775853137,147.845,0.012669864484875134,1.2669864484875135,0.1730869610532706,0.4009299956647495
Kill_13C_PP,504,197.41107179983237,134.011,0.012519077030782507,1.2519077030782506,0.1580082156440077,0.311925712034626
Kill_13C_PP,600,210.98937965010882,150.657,0.01270050901399541,1.270050901399541,0.176151413965298,0.3716607755702774
Kill_13C_PP,672,209.1508658605995,143.219,0.012619447261909977,1.2619447261909977,0.1680452387567548,0.3514680718972645
Kill_13C_PP,768,222.85978887420364,148.115,0.012672806965322629,1.267280696532263,0.17338120909802002,0.386396996543389
Kill_13C_PP,0,366.07289377902947,125.571,0.012427060326894626,1.2427060326894626,0.14880654525521964,0.5447404263483836
Kill_13C_PP,96,312.4363919740482,135.39,0.01253410988387535,1.253410988387535,0.15951150095329214,0.4983719783621155
Kill_13C_PP,168,328.04613390944087,138.18,0.012564523030998958,1.2564523030998958,0.16255281566565283,0.5332482273521141
Kill_13C_PP,264,337.17522708881387,139.643,0.012580470108162647,1.2580470108162647,0.16414752338202176,0.5534647847239957
Kill_13C_PP,336,334.6754422037928,142.325,0.012609703261958712,1.2609703261958711,0.1670708387616282,0.5591450684190649
Kill_13C_PP,432,335.14340494531467,141.134,0.012596721862581475,1.2596721862581475,0.16577269882390455,0.5555762673081753
Kill_13C_PP,504,323.8428818289385,144.941,0.01263821536414386,1.263821536414386,0.16992204898014318,0.550280460280076
Kill_13C_PP,600,347.9954703319976,144.995,0.012638803899365919,1.2638803899365918,0.16998090250234887,0.5915258411376232
Kill_13C_PP,672,361.26058648649007,127.507,0.012448168991673874,1.2448168991673874,0.15091741173314444,0.5452051267373886
Kill_13C_PP,768,352.81658142253445,144.713,0.01263573042991561,1.263573042991561,0.1696735555573181,0.5986364382953945
Kill_13C_PP,0,301.6109464092166,133.162,0.01250982162382165,1.2509821623821649,0.15708267494792194,0.4737785425553407
Kill_13C_PP,96,317.1083380222583,142.541,0.012612057534600147,1.2612057534600147,0.1673062660257718,0.5305421196014232
Kill_13C_PP,168,343.66737838131894,144.607,0.012634575149216877,1.2634575149216878,0.16955802748744486,0.5827156279011779
Kill_13C_PP,264,346.89044549645763,145.66,0.012646051544116311,1.264605154411631,0.1707056669773881,0.592161648665561
Kill_13C_PP,336,340.90459595039465,149.537,0.012688303739591539,1.2688303739591538,0.17493088652491084,0.5963474319001907
Kill_13C_PP,432,344.65498738950566,146.143,0.01265131555622959,1.265131555622959,0.17123206818871606,0.5901598630226091
Kill_13C_PP,504,376.5228026743994,147.182,0.012662638986254214,1.2662638986254213,0.1723644111911784,0.648991311830251
Kill_13C_PP,600,403.34593096748074,151.834,0.012713335124496353,1.2713335124496354,0.17743402501539252,0.7156729200514076
Kill_13C_PP,672,365.60657850437264,135.229,0.01253235480279886,1.253235480279886,0.15933599284564304,0.5825428717689275
Kill_13C_PP,768,373.22301992185913,146.765,0.0126580943876966,1.2658094387696601,0.1719099513354172,0.6416075119202425
