Sample_ID	incubation	timepoint	time	co2_area	HS_ml	T_C	pressure_bar	delta_pressure	delta_13C
Kill_13C_PE_1_T0	Kill_13C_PE	T0	0	34.2	100	22	1	0	118.199
Kill_13C_PE_1_T1	Kill_13C_PE	T1	96	35.5	100	22	1	0	128.537
Kill_13C_PE_1_T2	Kill_13C_PE	T2	168	36.1	100	22	1	0	125.56
Kill_13C_PE_1_T3	Kill_13C_PE	T3	264	39.7	100	22	1	0	126.422
Kill_13C_PE_1_T4	Kill_13C_PE	T4	336	37.3	100	22	1	0	126.403
Kill_13C_PE_1_T5	Kill_13C_PE	T5	432	45	100	22	1	0	124.489
Kill_13C_PE_1_T6	Kill_13C_PE	T6	504	39.3	100	22	1	0	124.25
Kill_13C_PE_1_T7	Kill_13C_PE	T7	600	42.3	100	22	1	0	125.921
Kill_13C_PE_1_T8	Kill_13C_PE	T8	672	43.7	100	22	1	0	108.115
Kill_13C_PE_1_T9	Kill_13C_PE	T9	768	44.9	100	22	1	0	117.897
Kill_13C_PE_2_T0	Kill_13C_PE	T0	0	33.4	100	22	1	0	126.041
Kill_13C_PE_2_T1	Kill_13C_PE	T1	96	33.5	100	22	1	0	129.194
Kill_13C_PE_2_T2	Kill_13C_PE	T2	168	32.6	100	22	1	0	128.668
Kill_13C_PE_2_T3	Kill_13C_PE	T3	264	35.7	100	22	1	0	128.644
Kill_13C_PE_2_T4	Kill_13C_PE	T4	336	31.8	100	22	1	0	130.157
Kill_13C_PE_2_T5	Kill_13C_PE	T5	432	39.6	100	22	1	0	127.309
Kill_13C_PE_2_T6	Kill_13C_PE	T6	504	32.1	100	22	1	0	123.784
Kill_13C_PE_2_T7	Kill_13C_PE	T7	600	39	100	22	1	0	129.666
Kill_13C_PE_2_T8	Kill_13C_PE	T8	672	35.4	100	22	1	0	123.046
Kill_13C_PE_2_T9	Kill_13C_PE	T9	768	37.3	100	22	1	0	126.851
Kill_13C_PE_3_T0	Kill_13C_PE	T0	0	40.8	100	22	1	0	129.302
Kill_13C_PE_3_T1	Kill_13C_PE	T1	96	34.4	100	22	1	0	130.352
Kill_13C_PE_3_T2	Kill_13C_PE	T2	168	51.6	100	22	1	0	129.649
Kill_13C_PE_3_T3	Kill_13C_PE	T3	264	34.2	100	22	1	0	129.581
Kill_13C_PE_3_T4	Kill_13C_PE	T4	336	33.1	100	22	1	0	128.738
Kill_13C_PE_3_T5	Kill_13C_PE	T5	432	36.2	100	22	1	0	129.77
Kill_13C_PE_3_T6	Kill_13C_PE	T6	504	33	100	22	1	0	125.151
Kill_13C_PE_3_T7	Kill_13C_PE	T7	600	39.5	100	22	1	0	130.728
Kill_13C_PE_3_T8	Kill_13C_PE	T8	672	35.7	100	22	1	0	116.258
Kill_13C_PE_3_T9	Kill_13C_PE	T9	768	39.1	100	22	1	0	126.106
Kill_13C_PP_1_T0	Kill_13C_PP	T0	0	46.5	100	22	1	0	126.432
Kill_13C_PP_1_T1	Kill_13C_PP	T1	96	54.8	100	22	1	0	136.438
Kill_13C_PP_1_T2	Kill_13C_PP	T2	168	35.7	100	22	1	0	143.486
Kill_13C_PP_1_T3	Kill_13C_PP	T3	264	48.4	100	22	1	0	142.298
Kill_13C_PP_1_T4	Kill_13C_PP	T4	336	58.4	100	22	1	0	150.64
Kill_13C_PP_1_T5	Kill_13C_PP	T5	432	41.4	100	22	1	0	147.845
Kill_13C_PP_1_T6	Kill_13C_PP	T6	504	35.6	100	22	1	0	134.011
Kill_13C_PP_1_T7	Kill_13C_PP	T7	600	38.5	100	22	1	0	150.657
Kill_13C_PP_1_T8	Kill_13C_PP	T8	672	38.5	100	22	1	0	143.219
Kill_13C_PP_1_T9	Kill_13C_PP	T9	768	41.5	100	22	1	0	148.115
Kill_13C_PP_2_T0	Kill_13C_PP	T0	0	61.9	100	22	1	0	125.571
Kill_13C_PP_2_T1	Kill_13C_PP	T1	96	53.5	100	22	1	0	135.39
Kill_13C_PP_2_T2	Kill_13C_PP	T2	168	56.7	100	22	1	0	138.18
Kill_13C_PP_2_T3	Kill_13C_PP	T3	264	59	100	22	1	0	139.643
Kill_13C_PP_2_T4	Kill_13C_PP	T4	336	59.1	100	22	1	0	142.325
Kill_13C_PP_2_T5	Kill_13C_PP	T5	432	59.9	100	22	1	0	141.134
Kill_13C_PP_2_T6	Kill_13C_PP	T6	504	58.4	100	22	1	0	144.941
Kill_13C_PP_2_T7	Kill_13C_PP	T7	600	63.5	100	22	1	0	144.995
Kill_13C_PP_2_T8	Kill_13C_PP	T8	672	66.5	100	22	1	0	127.507
Kill_13C_PP_2_T9	Kill_13C_PP	T9	768	65.7	100	22	1	0	144.713
Kill_13C_PP_3_T0	Kill_13C_PP	T0	0	51	100	22	1	0	133.162
Kill_13C_PP_3_T1	Kill_13C_PP	T1	96	54.3	100	22	1	0	142.541
Kill_13C_PP_3_T2	Kill_13C_PP	T2	168	59.4	100	22	1	0	144.607
Kill_13C_PP_3_T3	Kill_13C_PP	T3	264	60.7	100	22	1	0	145.66
Kill_13C_PP_3_T4	Kill_13C_PP	T4	336	60.2	100	22	1	0	149.537
Kill_13C_PP_3_T5	Kill_13C_PP	T5	432	61.6	100	22	1	0	146.143
Kill_13C_PP_3_T6	Kill_13C_PP	T6	504	67.9	100	22	1	0	147.182
Kill_13C_PP_3_T7	Kill_13C_PP	T7	600	73.6	100	22	1	0	151.834
Kill_13C_PP_3_T8	Kill_13C_PP	T8	672	67.3	100	22	1	0	135.229
Kill_13C_PP_3_T9	Kill_13C_PP	T9	768	69.5	100	22	1	0	146.765
