Sample_ID,incubation,timepoint,time,co2_area,HS_ml,T_C,pressure_bar,delta_pressure,delta_13C,CO2_ppm,CO2_HS_ml,CO2_mmol,CO2_umol
Kill_13C_PE_1_T0,Kill_13C_PE,T0,0,34.2,100,22,1,0,118.199,614.8229613,0.061482296,0.002505366,2.505365849
Kill_13C_PE_1_T1,Kill_13C_PE,T1,96,35.5,100,22,1,0,128.537,638.1934247,0.063819342,0.002600599,2.600599054
Kill_13C_PE_1_T2,Kill_13C_PE,T2,168,36.1,100,22,1,0,125.56,648.9797925,0.064897979,0.002644553,2.64455284
Kill_13C_PE_1_T3,Kill_13C_PE,T3,264,39.7,100,22,1,0,126.422,713.6979989,0.0713698,0.002908276,2.908275561
Kill_13C_PE_1_T4,Kill_13C_PE,T4,336,37.3,100,22,1,0,126.403,670.5525279,0.067055253,0.00273246,2.732460414
Kill_13C_PE_1_T5,Kill_13C_PE,T5,432,45,100,22,1,0,124.489,808.9775806,0.080897758,0.003296534,3.296534012
Kill_13C_PE_1_T6,Kill_13C_PE,T6,504,39.3,100,22,1,0,124.25,706.5070871,0.070650709,0.002878973,2.878973037
Kill_13C_PE_1_T7,Kill_13C_PE,T7,600,42.3,100,22,1,0,125.921,760.4389258,0.076043893,0.003098742,3.098741971
Kill_13C_PE_1_T8,Kill_13C_PE,T8,672,43.7,100,22,1,0,108.115,785.6071172,0.078560712,0.003201301,3.201300807
Kill_13C_PE_1_T9,Kill_13C_PE,T9,768,44.9,100,22,1,0,117.897,807.1798527,0.080717985,0.003289208,3.28920838
Kill_13C_PE_2_T0,Kill_13C_PE,T0,0,33.4,100,22,1,0,126.041,600.4411376,0.060044114,0.002446761,2.4467608
Kill_13C_PE_2_T1,Kill_13C_PE,T1,96,33.5,100,22,1,0,129.194,602.2388656,0.060223887,0.002454086,2.454086431
Kill_13C_PE_2_T2,Kill_13C_PE,T2,168,32.6,100,22,1,0,128.668,586.059314,0.058605931,0.002388156,2.388155751
Kill_13C_PE_2_T3,Kill_13C_PE,T3,264,35.7,100,22,1,0,128.644,641.7888806,0.064178888,0.00261525,2.615250316
Kill_13C_PE_2_T4,Kill_13C_PE,T4,336,31.8,100,22,1,0,130.157,571.6774903,0.057167749,0.002329551,2.329550701
Kill_13C_PE_2_T5,Kill_13C_PE,T5,432,39.6,100,22,1,0,127.309,711.900271,0.071190027,0.00290095,2.90094993
Kill_13C_PE_2_T6,Kill_13C_PE,T6,504,32.1,100,22,1,0,123.784,577.0706742,0.057707067,0.002351528,2.351527595
Kill_13C_PE_2_T7,Kill_13C_PE,T7,600,39,100,22,1,0,129.666,701.1139032,0.07011139,0.002856996,2.856996143
