incubation,time,average_CO2_mmol,std_CO2_mmol,average_CO2_umol,std_CO2_umol,average_delta_13c,std_delta_13c
Kill_13C_PE,0,0.002646995,2.98E-04,2.646994717,0.297508423,124.514,5.706833535
Kill_13C_PE,96,0.002524901,7.34E-05,2.524900865,0.073378304,129.361,0.918952121
Kill_13C_PE,168,0.002937578,7.41E-04,2.937578086,0.740758605,127.959,2.134710987
Kill_13C_PE,264,0.002676297,2.08E-04,2.676297242,0.20827651,128.2156667,1.622474139
Kill_13C_PE,336,0.002495598,2.11E-04,2.495598341,0.210582697,128.4326667,1.895534313
Kill_13C_PE,432,0.002949787,3.25E-04,2.949787471,0.325090788,127.1893333,2.642532939
Kill_13C_PE,504,0.00254932,2.87E-04,2.549319636,0.287385172,124.395,0.694939566
Kill_13C_PE,600,0.002949787,1.30E-04,2.949787471,0.130291933,128.7716667,2.525210156
Kill_13C_PE,672,0.002803275,3.45E-04,2.803274848,0.344875693,115.8063333,7.475740253
Kill_13C_PE,768,0.002961997,2.91E-04,2.961996856,0.290942246,123.618,4.968514567
Kill_13C_PP,0,0.003892352,5.80E-04,3.892352011,0.580083298,128.3883333,4.156470899
Kill_13C_PP,96,0.003970492,4.80E-05,3.970492076,0.048037376,138.123,3.861815506
Kill_13C_PP,168,0.003706769,9.50E-04,3.706769355,0.950442414,142.091,3.433089134
Kill_13C_PP,264,0.004104795,4.88E-04,4.104795314,0.488259406,142.5336667,3.015414786
Kill_13C_PP,336,0.004339216,6.65E-05,4.33921551,0.066471105,147.5006667,4.516059824
Kill_13C_PP,432,0.003977818,8.21E-04,3.977817707,0.820764968,145.0406667,3.488657956
Kill_13C_PP,504,0.003953399,0.001216062,3.953398937,1.216062124,142.0446667,7.047011447
Kill_13C_PP,600,0.004287936,0.001323698,4.287936092,1.32369783,149.162,3.656398365
Kill_13C_PP,672,0.004207354,0.001201523,4.20735415,1.201522616,135.3183333,7.856380931
Kill_13C_PP,768,0.004314797,0.001112628,4.31479674,1.112628086,146.531,1.713028896
