Sample_ID,incubation,timepoint,time,co2_area,HS_ml,T_C,pressure_bar,delta_pressure,delta_13C,CO2_ppm,CO2_HS_ml,CO2_mmol,CO2_umol,mDIC,total_C_umol
Kill_13C_PE_1_T0,Kill_13C_PE,T0,0,34.2,100,22,1,0,118.199,614.8229612761286,0.061482296127612864,0.002505365848760786,2.505365848760786,287.7035562730628,290.2089221218236
Kill_13C_PE_1_T1,Kill_13C_PE,T1,96,35.5,100,22,1,0,128.537,638.1934247164492,0.06381934247164492,0.0026005990535382423,2.600599053538242,294.7142965760516,297.31489562958984
Kill_13C_PE_1_T2,Kill_13C_PE,T2,168,36.1,100,22,1,0,125.56,648.9797924581356,0.06489797924581357,0.002644552840358607,2.644552840358607,296.7697967018842,299.4143495422428
Kill_13C_PE_1_T3,Kill_13C_PE,T3,264,39.7,100,22,1,0,126.422,713.6979989082545,0.07136979989082545,0.002908275561280795,2.908275561280795,322.1712447322369,325.0795202935177
Kill_13C_PE_1_T4,Kill_13C_PE,T4,336,37.3,100,22,1,0,126.403,670.5525279415085,0.06705525279415085,0.002732460413999336,2.7324604139993363,299.80583615128796,302.5382965652873
Kill_13C_PE_1_T5,Kill_13C_PE,T5,432,45,100,22,1,0,124.489,808.977580626485,0.0808977580626485,0.0032965340115273497,3.2965340115273496,357.15096181398803,360.4474958255154
Kill_13C_PE_1_T6,Kill_13C_PE,T6,504,39.3,100,22,1,0,124.25,706.5070870804634,0.07065070870804635,0.002878973036733885,2.878973036733885,308.99966329598334,311.87863633271724
Kill_13C_PE_1_T7,Kill_13C_PE,T7,600,42.3,100,22,1,0,125.921,760.4389257888957,0.07604389257888958,0.003098741970835708,3.0987419708357082,328.4980446327913,331.596786603627
Kill_13C_PE_1_T8,Kill_13C_PE,T8,672,43.7,100,22,1,0,108.115,785.6071171861643,0.07856071171861644,0.0032013008067498933,3.2013008067498934,336.26933232762553,339.4706331343754
Kill_13C_PE_1_T9,Kill_13C_PE,T9,768,44.9,100,22,1,0,117.897,807.1798526695371,0.08071798526695372,0.003289208380390622,3.289208380390622,341.3445692497939,344.6337776301845
Kill_13C_PE_2_T0,Kill_13C_PE,T0,0,33.4,100,22,1,0,126.041,600.4411376205466,0.06004411376205466,0.002446760799666966,2.446760799666966,280.9736485239853,283.4204093236522
Kill_13C_PE_2_T1,Kill_13C_PE,T1,96,33.5,100,22,1,0,129.194,602.2388655774943,0.06022388655774943,0.0024540864308036934,2.4540864308036934,278.1106742337388,280.56476066454246
