Sample_ID,incubation,Timepoint,time,inject_volume_ul,co2_area,HS_ml,T_C,pressure_bar,delta_pressure,delta_13C
T0-1-PE,PE,T0-1,0,50,36.8,100,22,1,0,69.95
T0-2-PE,PE,T0-1,0,50,35.8,100,22,1,0,80.17
T0-3-PE,PE,T0-1,0,50,37.6,100,22,1,0,87.46
T0-4-PE,PE,T0-1,0,50,38.4,100,22,1,0,
T0-5-PE,PE,T0-1,0,50,35.8,100,22,1,0,
T0-1-PP,PP,T0-1,0,50,38.3,100,22,1,0,90.5
T0-2-PP,PP,T0-1,0,50,39.3,100,22,1,0,87.89
T0-3-PP,PP,T0-1,0,50,37,100,22,1,0,130.83
T0-4-PP,PP,T0-1,0,50,37.4,100,22,1,0,101.61
T0-5-PP,PP,T0-1,0,50,37.8,100,22,1,0,97
T0-1-PE,PE,T0,24,50,36.9,100,22,1,0,148.9
T0-2-PE,PE,T0,24,50,37.6,100,22,1,0,141.72
T0-3-PE,PE,T0,24,50,37.4,100,22,1,0,148.62
T0-4-PE,PE,T0,24,50,37.5,100,22,1,0,
T0-5-PE,PE,T0,24,50,37.3,100,22,1,0,
T0-1-PP,PP,T0,24,50,37.9,100,22,1,0,154.88
T0-2-PP,PP,T0,24,50,36.5,100,22,1,0,159.68
T0-3-PP,PP,T0,24,50,36.4,100,22,1,0,157.35
T0-4-PP,PP,T0,24,50,37.4,100,22,1,0,165.71
T0-5-PP,PP,T0,24,50,36.5,100,22,1,0,159.52
T2-1-PE,PE,T2,72,50,40.5,100,22,1,0,151.81
T2-2-PE,PE,T2,72,50,40.5,100,22,1,0,152.54
T2-3-PE,PE,T2,72,50,43.2,100,22,1,0,153.5
T2-4-PE,PE,T2,72,50,40.9,100,22,1,0,146.61
T2-5-PE,PE,T2,72,50,40.2,100,22,1,0,151.32
T2-1-PP,PP,T2,72,50,42.6,100,22,1,0,221.87
T2-2-PP,PP,T2,72,50,44,100,22,1,0,212.7
T2-3-PP,PP,T2,72,50,42.2,100,22,1,0,217.5
T2-4-PP,PP,T2,72,50,42,100,22,1,0,214.79
T2-5-PP,PP,T2,72,50,42.3,100,22,1,0,203.04
T3-1-PE,PE,T3,96,50,41.9,100,22,1,0,152.18
T3-2-PE,PE,T3,96,50,40.8,100,22,1,0,153.59
T3-3-PE,PE,T3,96,50,40.8,100,22,1,0,146.51
T3-4-PE,PE,T3,96,50,41.3,100,22,1,0,146.37
T3-5-PE,PE,T3,96,50,40.4,100,22,1,0,148.02
T3-1-PP,PP,T3,96,50,41.4,100,22,1,0,222.7
T3-2-PP,PP,T3,96,50,42.6,100,22,1,0,217.79
T3-3-PP,PP,T3,96,50,46,100,22,1,0,222.66
T3-4-PP,PP,T3,96,50,42.3,100,22,1,0,224.29
T3-5-PP,PP,T3,96,50,41.4,100,22,1,0,209.16
T4-1-PE,PE,T4,192,50,46,100,22,1,0,124.103
T4-2-PE,PE,T4,192,50,41,100,22,1,0,130.171
T4-3-PE,PE,T4,192,50,43.3,100,22,1,0,125.568
T4-4-PE,PE,T4,192,50,43.1,100,22,1,0,127.369
T4-5-PE,PE,T4,192,50,45.4,100,22,1,0,127.959
T4-1-PP,PP,T4,192,50,45.4,100,22,1,0,221.7
T4-2-PP,PP,T4,192,50,49.1,100,22,1,0,209.38
T4-3-PP,PP,T4,192,50,51,100,22,1,0,221.32
T4-4-PP,PP,T4,192,50,50.3,100,22,1,0,227.74
T4-5-PP,PP,T4,192,50,48.3,100,22,1,0,215.49
T5-1-PE,PE,T5,216,50,47.2,100,22,1,0,143.01
T5-2-PE,PE,T5,216,50,47.9,100,22,1,0,147.37
T5-3-PE,PE,T5,216,50,51.3,100,22,1,0,154.71
T5-4-PE,PE,T5,216,50,49.2,100,22,1,0,152.17
T5-5-PE,PE,T5,216,50,46.3,100,22,1,0,155.93
T5-1-PP,PP,T5,216,50,49.5,100,22,1,0,236.31
T5-2-PP,PP,T5,216,50,48.1,100,22,1,0,230.28
T5-3-PP,PP,T5,216,50,49.7,100,22,1,0,238.03
T5-4-PP,PP,T5,216,50,50.3,100,22,1,0,238.58
T5-5-PP,PP,T5,216,50,50.5,100,22,1,0,217.54
T6-1-PE,PE,T6,240,50,47.9,100,22,1,0,153.1
T6-2-PE,PE,T6,240,50,46.7,100,22,1,0,158.53
T6-3-PE,PE,T6,240,50,45.1,100,22,1,0,158.87
T6-4-PE,PE,T6,240,50,49.1,100,22,1,0,153.87
T6-5-PE,PE,T6,240,50,46.5,100,22,1,0,156.69
T6-1-PP,PP,T6,240,50,48.3,100,22,1,0,250.86
T6-2-PP,PP,T6,240,50,48.3,100,22,1,0,242.47
T6-3-PP,PP,T6,240,50,48.5,100,22,1,0,241.6
T6-4-PP,PP,T6,240,50,50.2,100,22,1,0,250.7
T6-5-PP,PP,T6,240,50,49.5,100,22,1,0,232.31
T7-1-PE,PE,T7,264,50,55.6,100,22,1,0,138.98
T7-2-PE,PE,T7,264,50,51.8,100,22,1,0,125
T7-3-PE,PE,T7,264,50,50.8,100,22,1,0,144.45
T7-4-PE,PE,T7,264,50,51.5,100,22,1,0,148.25
T7-5-PE,PE,T7,264,50,52.3,100,22,1,0,156.17
T7-1-PP,PP,T7,264,50,50.9,100,22,1,0,246.84
T7-2-PP,PP,T7,264,50,52.8,100,22,1,0,239.51
T7-3-PP,PP,T7,264,50,55.2,100,22,1,0,247.08
T7-4-PP,PP,T7,264,50,56.1,100,22,1,0,251.83
T7-5-PP,PP,T7,264,50,53,100,22,1,0,218.85
T8-1-PE,PE,T8,336,50,53.1,100,22,1,0,157.92
T8-2-PE,PE,T8,336,50,54.8,100,22,1,0,162.5
T8-3-PE,PE,T8,336,50,54,100,22,1,0,162.56
T8-4-PE,PE,T8,336,50,57.7,100,22,1,0,157.08
T8-5-PE,PE,T8,336,50,53.4,100,22,1,0,159.73
T8-1-PP,PP,T8,336,50,52.9,100,22,1,0,261.67
T8-2-PP,PP,T8,336,50,55.7,100,22,1,0,251.47
T8-3-PP,PP,T8,336,50,55.3,100,22,1,0,258.92
T8-4-PP,PP,T8,336,50,58,100,22,1,0,262.05
T8-5-PP,PP,T8,336,50,55.8,100,22,1,0,242.86
T9-1-PE,PE,T9,360,50,54.7,100,22,1,0,159.62
T9-2-PE,PE,T9,360,50,54.5,100,22,1,0,161.73
T9-3-PE,PE,T9,360,50,53.2,100,22,1,0,161.3
T9-4-PE,PE,T9,360,50,58,100,22,1,0,155.68
T9-5-PE,PE,T9,360,50,55,100,22,1,0,158.9
T9-1-PP,PP,T9,360,50,56.3,100,22,1,0,262.92
T9-2-PP,PP,T9,360,50,57.7,100,22,1,0,256.66
T9-3-PP,PP,T9,360,50,55.3,100,22,1,0,260.45
T9-4-PP,PP,T9,360,50,57.8,100,22,1,0,264.21
T9-5-PP,PP,T9,360,50,57.2,100,22,1,0,245.02
T10-1-PE,PE,T10,384,50,57.8,100,22,1,0,158.21
T10-2-PE,PE,T10,384,50,59.4,100,22,1,0,157.18
T10-3-PE,PE,T10,384,50,58.3,100,22,1,0,158.27
T10-4-PE,PE,T10,384,50,61,100,22,1,0,155.96
T10-5-PE,PE,T10,384,50,57.3,100,22,1,0,157.67
T10-1-PP,PP,T10,384,50,58,100,22,1,0,262.41
T10-2-PP,PP,T10,384,50,62.7,100,22,1,0,257.31
T10-3-PP,PP,T10,384,50,60.7,100,22,1,0,259.88
T10-4-PP,PP,T10,384,50,63.7,100,22,1,0,258.84
T10-5-PP,PP,T10,384,50,55.2,100,22,1,0,235.11
T11-1-PE,PE,T11,408,50,61.8,100,22,1,0,157.7
