Sample_ID,incubation,Timepoint,time,inject_volume_ul,co2_area,HS_ml,T_C,pressure_bar,delta_pressure,delta_13C,CO2_ppm,CO2_HS_ml,CO2_mmol,CO2_umol
T0-1-PE,PE,T0-1,0,50,36.8,100,22,1,0,69.95,499.23898918081636,0.04992389891808164,0.0020343682533706243,2.034368253370624
T0-2-PE,PE,T0-1,0,50,35.8,100,22,1,0,80.17,485.6727123009029,0.04856727123009029,0.001979086507355118,1.979086507355118
T0-3-PE,PE,T0-1,0,50,37.6,100,22,1,0,87.46,510.09201068474727,0.05100920106847473,0.00207859365018303,2.0785936501830298
T0-4-PE,PE,T0-1,0,50,38.4,100,22,1,0,NA,520.9450321886779,0.0520945032188678,0.002122819046995434,2.122819046995434
T0-5-PE,PE,T0-1,0,50,35.8,100,22,1,0,NA,485.6727123009029,0.04856727123009029,0.001979086507355118,1.979086507355118
T0-1-PP,PP,T0-1,0,50,38.3,100,22,1,0,90.5,519.5884045006866,0.05195884045006866,0.0021172908723938837,2.1172908723938835
T0-2-PP,PP,T0-1,0,50,39.3,100,22,1,0,87.89,533.1546813806001,0.05331546813806001,0.00217257261840939,2.17257261840939
T0-3-PP,PP,T0-1,0,50,37,100,22,1,0,130.83,501.95224455679914,0.050195224455679914,0.002045424602573726,2.0454246025737257
T0-4-PP,PP,T0-1,0,50,37.4,100,22,1,0,101.61,507.3787553087645,0.05073787553087645,0.002067537300979928,2.067537300979928
T0-5-PP,PP,T0-1,0,50,37.8,100,22,1,0,97,512.8052660607299,0.05128052660607299,0.0020896499993861306,2.0896499993861304
T0-1-PE,PE,T0,24,50,36.9,100,22,1,0,148.9,500.5956168688078,0.050059561686880784,0.0020398964279721753,2.039896427972175
T0-2-PE,PE,T0,24,50,37.6,100,22,1,0,141.72,510.09201068474727,0.05100920106847473,0.00207859365018303,2.0785936501830298
T0-3-PE,PE,T0,24,50,37.4,100,22,1,0,148.62,507.3787553087645,0.05073787553087645,0.002067537300979928,2.067537300979928
T0-4-PE,PE,T0,24,50,37.5,100,22,1,0,NA,508.73538299675585,0.050873538299675586,0.002073065475581479,2.073065475581479
T0-5-PE,PE,T0,24,50,37.3,100,22,1,0,NA,506.0221276207731,0.05060221276207731,0.0020620091263783774,2.0620091263783773
T0-1-PP,PP,T0,24,50,37.9,100,22,1,0,154.88,514.1618937487212,0.05141618937487213,0.0020951781739876815,2.0951781739876814
T0-2-PP,PP,T0,24,50,36.5,100,22,1,0,159.68,495.1691061168424,0.04951691061168424,0.002017783729565973,2.017783729565973
T0-3-PP,PP,T0,24,50,36.4,100,22,1,0,157.35,493.812478428851,0.049381247842885105,0.002012255554964422,2.012255554964422
